i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
 130,      1.21003747,      1.04916966,      1.04916966,      1.04916954,      1.04916954, 1, 1, 0, 
 131,      1.08874822,      1.10441160,      1.10441160,      1.10441160,      1.10441160, 0, 0, 0, 
 132,      1.06131005,      1.12879467,      1.12879467,      1.12879491,      1.12879491, 1, 1, 0, 
 133,      1.22638381,      1.19818521,      1.19818521,      1.19818509,      1.19818509, 1, 1, 0, 
 134,      1.22229075,      1.29718733,      1.29718733,      1.29718733,      1.29718733, 0, 0, 0, 
 135,      1.58950734,      1.30566847,      1.30566847,      1.30566859,      1.30566859, 1, 1, 0, 
 136,      1.09637761,      1.15814936,      1.15814936,      1.15814924,      1.15814924, 1, 1, 0, 
 137,      0.85259509,      0.98212874,      0.98212874,      0.98212880,      0.98212880, 1, 1, 0, 
 138,      0.96142298,      0.87645692,      0.87645692,      0.87645698,      0.87645698, 1, 1, 0, 
 139,      0.77778029,      0.76799935,      0.76799935,      0.76799929,      0.76799929, 1, 1, 0, 
 140,      0.63689423,      0.60311514,      0.60311514,      0.60311508,      0.60311508, 1, 1, 0, 
 141,      0.37544382,      0.41103274,      0.41103274,      0.41103274,      0.41103274, 0, 0, 0, 
 142,      0.25415677,      0.21500245,      0.21500245,      0.21500245,      0.21500245, 0, 0, 0, 
 143,     -0.01812351,      0.02569566,      0.02569566,      0.02569566,      0.02569566, 0, 0, 0, 
 144,     -0.15107688,     -0.12924498,     -0.12924498,     -0.12924498,     -0.12924498, 0, 0, 0, 
 145,     -0.26789173,     -0.23379241,     -0.23379241,     -0.23379242,     -0.23379242, 1, 1, 0, 
 146,     -0.27155417,     -0.31043467,     -0.31043467,     -0.31043464,     -0.31043464, 1, 1, 0, 
 147,     -0.42468056,     -0.37576139,     -0.37576139,     -0.37576139,     -0.37576139, 0, 0, 0, 
 148,     -0.41626340,     -0.42702967,     -0.42702967,     -0.42702967,     -0.42702967, 0, 0, 0, 
 149,     -0.44493663,     -0.47226521,     -0.47226521,     -0.47226524,     -0.47226524, 1, 1, 0, 
 150,     -0.58487153,     -0.49574897,     -0.49574897,     -0.49574894,     -0.49574894, 1, 1, 0, 
 151,     -0.45740384,     -0.48851341,     -0.48851341,     -0.48851341,     -0.48851341, 0, 0, 0, 
 152,     -0.39712840,     -0.50627196,     -0.50627196,     -0.50627196,     -0.50627196, 0, 0, 0, 
 153,     -0.69885540,     -0.54143649,     -0.54143649,     -0.54143649,     -0.54143649, 0, 0, 0, 
 154,     -0.50767249,     -0.49523154,     -0.49523151,     -0.49523157,     -0.49523157, 1, 1, 0, 
 155,     -0.39324418,     -0.34075984,     -0.34075984,     -0.34075987,     -0.34075987, 1, 1, 0, 
 156,     -0.11214319,     -0.14291623,     -0.14291623,     -0.14291623,     -0.14291623, 0, 0, 0, 
 157,      0.08542532,      0.03735378,      0.03735378,      0.03735378,      0.03735378, 0, 0, 0, 
 158,      0.12514731,      0.20726410,      0.20726410,      0.20726410,      0.20726410, 0, 0, 0, 
 159,      0.42633629,      0.38730249,      0.38730249,      0.38730252,      0.38730252, 1, 1, 0, 
 160,      0.63043845,      0.51430023,      0.51430023,      0.51430023,      0.51430023, 0, 0, 0, 
 161,      0.53105390,      0.55284500,      0.55284500,      0.55284500,      0.55284500, 0, 0, 0, 
 162,      0.49146515,      0.59954971,      0.59954971,      0.59954971,      0.59954971, 0, 0, 0, 
 163,      0.74524593,      0.70492828,      0.70492828,      0.70492828,      0.70492828, 0, 0, 0, 
 164,      0.90836656,      0.77050436,      0.77050424,      0.77050436,      0.77050436, 1, 1, 0, 
 165,      0.67699641,      0.74366140,      0.74366140,      0.74366140,      0.74366140, 0, 0, 0, 
 166,      0.69743490,      0.68540591,      0.68540591,      0.68540591,      0.68540591, 0, 0, 0, 
 167,      0.66815180,      0.60875762,      0.60875762,      0.60875762,      0.60875762, 0, 0, 0, 
 168,      0.49292552,      0.46552181,      0.46552181,      0.46552181,      0.46552181, 0, 0, 0, 
 169,      0.29277223,      0.24033380,      0.24033380,      0.24033380,      0.24033380, 0, 0, 0, 
 170,     -0.05033517,     -0.04809100,     -0.04809100,     -0.04809100,     -0.04809100, 0, 0, 0, 
 171,     -0.34980595,     -0.37236035,     -0.37236035,     -0.37236035,     -0.37236035, 0, 0, 0, 
 172,     -0.73223561,     -0.68838543,     -0.68838543,     -0.68838543,     -0.68838543, 0, 0, 0, 
 173,     -1.02141905,     -0.95370227,     -0.95370227,     -0.95370227,     -0.95370227, 0, 0, 0, 
 174,     -1.08551788,     -1.19896960,     -1.19896960,     -1.19896960,     -1.19896960, 0, 0, 0, 
 175,     -1.50990224,     -1.48524654,     -1.48524654,     -1.48524654,     -1.48524654, 0, 0, 0, 
 176,     -1.81288552,     -1.79930806,     -1.79930830,     -1.79930830,     -1.79930830, 0, 0, 0, 
 177,     -2.08949828,     -2.08000994,     -2.08000994,     -2.08001018,     -2.08001018, 1, 1, 0, 
 178,     -2.42849803,     -2.28438902,     -2.28438902,     -2.28438902,     -2.28438902, 0, 0, 0, 
 179,     -2.26773572,     -2.45889831,     -2.45889831,     -2.45889854,     -2.45889854, 1, 1, 0, 
 180,     -2.73741531,     -2.65511036,     -2.65511036,     -2.65511036,     -2.65511036, 0, 0, 0, 
 181,     -2.98280811,     -2.77900219,     -2.77900219,     -2.77900219,     -2.77900219, 0, 0, 0, 
 182,     -2.62660027,     -2.78587055,     -2.78587055,     -2.78587055,     -2.78587055, 0, 0, 0, 
 183,     -2.84338808,     -2.76412463,     -2.76412463,     -2.76412439,     -2.76412439, 1, 1, 0, 
 184,     -2.77212667,     -2.71955466,     -2.71955466,     -2.71955490,     -2.71955490, 1, 1, 0, 
 185,     -2.58794785,     -2.61444211,     -2.61444211,     -2.61444235,     -2.61444235, 1, 1, 0, 
 186,     -2.52817297,     -2.45528030,     -2.45528030,     -2.45528007,     -2.45528007, 1, 1, 0, 
 187,     -2.25880218,     -2.23622537,     -2.23622537,     -2.23622561,     -2.23622561, 1, 1, 0, 
 188,     -1.95631623,     -1.96755922,     -1.96755922,     -1.96755934,     -1.96755934, 1, 1, 0, 
 189,     -1.70089030,     -1.67370629,     -1.67370629,     -1.67370629,     -1.67370629, 0, 0, 0, 
 190,     -1.37610877,     -1.35002661,     -1.35002661,     -1.35002685,     -1.35002685, 1, 1, 0, 
 191,     -0.98545712,     -0.99278814,     -0.99278814,     -0.99278820,     -0.99278820, 1, 1, 0, 
 192,     -0.64206958,     -0.61194533,     -0.61194533,     -0.61194527,     -0.61194527, 1, 1, 0, 
 193,     -0.19826445,     -0.21450573,     -0.21450573,     -0.21450570,     -0.21450570, 1, 1, 0, 
