i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
 166,      0.69743514,      0.68540615,      0.68540615,      0.68540615,      0.68540615, 0, 0, 0, 
 167,      0.66815209,      0.60875797,      0.60875797,      0.60875797,      0.60875797, 0, 0, 0, 
 168,      0.49292684,      0.46552184,      0.46552184,      0.46552184,      0.46552184, 0, 0, 0, 
 169,      0.29277050,      0.24033296,      0.24033296,      0.24033296,      0.24033296, 0, 0, 0, 
 170,     -0.05033696,     -0.04809241,     -0.04809241,     -0.04809241,     -0.04809241, 0, 0, 0, 
 171,     -0.34980726,     -0.37236166,     -0.37236166,     -0.37236166,     -0.37236166, 0, 0, 0, 
 172,     -0.73223656,     -0.68838632,     -0.68838632,     -0.68838632,     -0.68838632, 0, 0, 0, 
 173,     -1.02141964,     -0.95370287,     -0.95370287,     -0.95370287,     -0.95370287, 0, 0, 0, 
 174,     -1.08551812,     -1.19896984,     -1.19896984,     -1.19896984,     -1.19896984, 0, 0, 0, 
 175,     -1.50990212,     -1.48524630,     -1.48524630,     -1.48524630,     -1.48524630, 0, 0, 0, 
 176,     -1.81288481,     -1.79930758,     -1.79930758,     -1.79930758,     -1.79930758, 0, 0, 0, 
 177,     -2.08949685,     -2.08000898,     -2.08000922,     -2.08000898,     -2.08000898, 1, 1, 0, 
 178,     -2.42849708,     -2.28438807,     -2.28438807,     -2.28438807,     -2.28438807, 0, 0, 0, 
 179,     -2.26773477,     -2.45889735,     -2.45889735,     -2.45889735,     -2.45889735, 0, 0, 0, 
 180,     -2.73741412,     -2.65510941,     -2.65510941,     -2.65510941,     -2.65510941, 0, 0, 0, 
 181,     -2.98280716,     -2.77900147,     -2.77900147,     -2.77900147,     -2.77900147, 0, 0, 0, 
 182,     -2.62660074,     -2.78587031,     -2.78587031,     -2.78587055,     -2.78587055, 1, 1, 0, 
 183,     -2.84338832,     -2.76412463,     -2.76412463,     -2.76412463,     -2.76412463, 0, 0, 0, 
 184,     -2.77212667,     -2.71955490,     -2.71955466,     -2.71955490,     -2.71955490, 1, 1, 0, 
 185,     -2.58794785,     -2.61444211,     -2.61444211,     -2.61444211,     -2.61444211, 0, 0, 0, 
 186,     -2.52817273,     -2.45527983,     -2.45527983,     -2.45527983,     -2.45527983, 0, 0, 0, 
 187,     -2.25880146,     -2.23622513,     -2.23622513,     -2.23622513,     -2.23622513, 0, 0, 0, 
 188,     -1.95631588,     -1.96755910,     -1.96755910,     -1.96755910,     -1.96755910, 0, 0, 0, 
 189,     -1.70089054,     -1.67370653,     -1.67370653,     -1.67370653,     -1.67370653, 0, 0, 0, 
 190,     -1.37610960,     -1.35002756,     -1.35002756,     -1.35002756,     -1.35002756, 0, 0, 0, 
 191,     -0.98545843,     -0.99278951,     -0.99278963,     -0.99278963,     -0.99278963, 0, 0, 0, 
 192,     -0.64207160,     -0.61194706,     -0.61194706,     -0.61194706,     -0.61194706, 0, 0, 0, 
 193,     -0.19826698,     -0.21450691,     -0.21450691,     -0.21450691,     -0.21450691, 0, 0, 0, 
 194,      0.17228830,      0.19075836,      0.19075836,      0.19075836,      0.19075836, 0, 0, 0, 
 195,      0.62208289,      0.57371378,      0.57371378,      0.57371378,      0.57371378, 0, 0, 0, 
 196,      0.96521205,      0.87665313,      0.87665313,      0.87665319,      0.87665319, 1, 1, 0, 
 197,      1.09518886,      1.09672666,      1.09672666,      1.09672666,      1.09672666, 0, 0, 0, 
 198,      1.19380283,      1.31426442,      1.31426442,      1.31426454,      1.31426454, 1, 1, 0, 
 199,      1.71835184,      1.53705657,      1.53705657,      1.53705657,      1.53705657, 0, 0, 0, 
 200,      1.64604032,      1.71002257,      1.71002257,      1.71002245,      1.71002245, 1, 1, 0, 
 201,      1.82823157,      1.84942639,      1.84942639,      1.84942627,      1.84942627, 1, 1, 0, 
 202,      2.10398221,      1.93922043,      1.93922043,      1.93922043,      1.93922043, 0, 0, 0, 
 203,      1.90299034,      1.92306697,      1.92306697,      1.92306697,      1.92306697, 0, 0, 0, 
 204,      1.83270550,      1.83839846,      1.83839846,      1.83839846,      1.83839846, 0, 0, 0, 
 205,      1.77614713,      1.73274124,      1.73274124,      1.73274112,      1.73274112, 1, 1, 0, 
 206,      1.59761000,      1.60808802,      1.60808802,      1.60808802,      1.60808802, 0, 0, 0, 
 207,      1.44272363,      1.49091411,      1.49091411,      1.49091411,      1.49091411, 0, 0, 0, 
 208,      1.43556070,      1.38175666,      1.38175666,      1.38175654,      1.38175654, 1, 1, 0, 
 209,      1.28945327,      1.20675170,      1.20675170,      1.20675170,      1.20675170, 0, 0, 0, 
 210,      0.96842343,      0.92753416,      0.92753416,      0.92753416,      0.92753416, 0, 0, 0, 
 211,      0.51264805,      0.62962186,      0.62962180,      0.62962186,      0.62962186, 1, 1, 0, 
 212,      0.38603997,      0.42151335,      0.42151335,      0.42151332,      0.42151332, 1, 1, 0, 
 213,      0.29075426,      0.29234675,      0.29234675,      0.29234675,      0.29234675, 0, 0, 0, 
 214,      0.24594080,      0.15870440,      0.15870440,      0.15870440,      0.15870440, 0, 0, 0, 
 215,     -0.10754871,      0.01869397,      0.01869397,      0.01869396,      0.01869396, 1, 1, 0, 
 216,     -0.05523646,     -0.08013800,     -0.08013800,     -0.08013800,     -0.08013800, 0, 0, 0, 
 217,     -0.10917592,     -0.16457640,     -0.16457640,     -0.16457640,     -0.16457640, 0, 0, 0, 
 218,     -0.32983154,     -0.24882561,     -0.24882561,     -0.24882559,     -0.24882559, 1, 1, 0, 
 219,     -0.33034617,     -0.25404459,     -0.25404459,     -0.25404459,     -0.25404459, 0, 0, 0, 
 220,     -0.18889558,     -0.14449047,     -0.14449047,     -0.14449047,     -0.14449047, 0, 0, 0, 
 221,      0.10144812,     -0.00125607,     -0.00125607,     -0.00125607,     -0.00125607, 1, 1, 0, 
 222,      0.06694978,      0.11750852,      0.11750852,      0.11750852,      0.11750852, 0, 0, 0, 
 223,      0.18934354,      0.24987115,      0.24987113,      0.24987113,      0.24987113, 0, 0, 0, 
 224,      0.50416648,      0.40886900,      0.40886900,      0.40886903,      0.40886903, 1, 1, 0, 
 225,      0.47596383,      0.57291073,      0.57291073,      0.57291079,      0.57291079, 1, 1, 0, 
 226,      0.78872585,      0.73831558,      0.73831558,      0.73831558,      0.73831558, 0, 0, 0, 
 227,      0.94987625,      0.87165231,      0.87165231,      0.87165231,      0.87165231, 0, 0, 0, 
 228,      0.87316710,      0.95978206,      0.95978212,      0.95978212,      0.95978212, 0, 0, 0, 
 229,      1.12364388,      1.03108037,      1.03108037,      1.03108037,      1.03108037, 0, 0, 0, 
 230,      1.03470421,      1.09424245,      1.09424245,      1.09424245,      1.09424245, 0, 0, 0, 
 231,      1.17406082,      1.15347874,      1.15347874,      1.15347874,      1.15347874, 0, 0, 0, 
 232,      1.23566771,      1.20087886,      1.20087886,      1.20087898,      1.20087898, 1, 1, 0, 
 233,      1.20616388,      1.22325015,      1.22325015,      1.22325015,      1.22325015, 0, 0, 0, 
 234,      1.24445391,      1.22154844,      1.22154844,      1.22154844,      1.22154844, 0, 0, 0, 
 235,      1.24047148,      1.17938471,      1.17938471,      1.17938471,      1.17938471, 0, 0, 0, 
 236,      1.05584288,      1.10276079,      1.10276079,      1.10276079,      1.10276079, 0, 0, 0, 
 237,      1.01997542,      1.03596365,      1.03596365,      1.03596354,      1.03596354, 1, 1, 0, 
 238,      1.02287292,      0.96353507,      0.96353507,      0.96353507,      0.96353507, 0, 0, 0, 
 239,      0.90023065,      0.81518394,      0.81518394,      0.81518388,      0.81518388, 1, 1, 0, 
 240,      0.54265648,      0.59840143,      0.59840143,      0.59840137,      0.59840137, 1, 1, 0, 
 241,      0.35946590,      0.39688304,      0.39688304,      0.39688304,      0.39688304, 0, 0, 0, 
 242,      0.25682420,      0.23702908,      0.23702908,      0.23702908,      0.23702908, 0, 0, 0, 
 243,      0.09518012,      0.07639863,      0.07639863,      0.07639864,      0.07639864, 1, 1, 0, 
 244,     -0.10972071,     -0.09452230,     -0.09452230,     -0.09452230,     -0.09452230, 0, 0, 0, 
 245,     -0.29658240,     -0.24952668,     -0.24952668,     -0.24952669,     -0.24952669, 1, 1, 0, 
 246,     -0.30524760,     -0.39544159,     -0.39544159,     -0.39544159,     -0.39544159, 0, 0, 0, 
 247,     -0.64823949,     -0.52165198,     -0.52165198,     -0.52165198,     -0.52165198, 0, 0, 0, 
 248,     -0.60657191,     -0.57757819,     -0.57757819,     -0.57757819,     -0.57757819, 0, 0, 0, 
 249,     -0.51313412,     -0.57881027,     -0.57881027,     -0.57881027,     -0.57881027, 0, 0, 0, 
 250,     -0.65107721,     -0.56133235,     -0.56133235,     -0.56133235,     -0.56133235, 0, 0, 0, 
 251,     -0.50332350,     -0.51453453,     -0.51453453,     -0.51453459,     -0.51453459, 1, 1, 0, 
 252,     -0.40245175,     -0.47139829,     -0.47139829,     -0.47139829,     -0.47139829, 0, 0, 0, 
 253,     -0.48536181,     -0.45524421,     -0.45524421,     -0.45524418,     -0.45524418, 1, 1, 0, 
 254,     -0.52184373,     -0.38825992,     -0.38825992,     -0.38825992,     -0.38825992, 0, 0, 0, 
 255,     -0.17123088,     -0.24261683,     -0.24261683,     -0.24261685,     -0.24261685, 1, 1, 0, 
 256,     -0.05227366,     -0.09293606,     -0.09293606,     -0.09293605,     -0.09293605, 1, 1, 0, 
 257,     -0.07265276,      0.05819545,      0.05819545,      0.05819545,      0.05819545, 0, 0, 0, 
 258,      0.32404339,      0.23577975,      0.23577975,      0.23577975,      0.23577975, 0, 0, 0, 
 259,      0.45119572,      0.37887868,      0.37887868,      0.37887871,      0.37887871, 1, 1, 0, 
 260,      0.36631748,      0.47322458,      0.47322458,      0.47322461,      0.47322461, 1, 1, 0, 
 261,      0.66609401,      0.55926710,      0.55926710,      0.55926704,      0.55926704, 1, 1, 0, 
 262,      0.58048624,      0.63242519,      0.63242519,      0.63242519,      0.63242519, 0, 0, 0, 
 263,      0.71329868,      0.67947972,      0.67947972,      0.67947978,      0.67947978, 1, 1, 0, 
 264,      0.75199735,      0.68482393,      0.68482393,      0.68482387,      0.68482387, 1, 1, 0, 
 265,      0.59585619,      0.63816059,      0.63816059,      0.63816059,      0.63816059, 0, 0, 0, 
 266,      0.62809289,      0.54688603,      0.54688603,      0.54688597,      0.54688597, 1, 1, 0, 
 267,      0.40177226,      0.41212660,      0.41212660,      0.41212660,      0.41212660, 0, 0, 0, 
 268,      0.23910767,      0.24526724,      0.24526724,      0.24526721,      0.24526721, 1, 1, 0, 
 269,      0.11873347,      0.06024266,      0.06024266,      0.06024265,      0.06024265, 1, 1, 0, 
 270,     -0.22048628,     -0.13599794,     -0.13599794,     -0.13599794,     -0.13599794, 0, 0, 0, 
 271,     -0.22477621,     -0.35783786,     -0.35783786,     -0.35783786,     -0.35783786, 0, 0, 0, 
 272,     -0.66798592,     -0.63093323,     -0.63093323,     -0.63093317,     -0.63093317, 1, 1, 0, 
